Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Quarter,Day,Weekday,Daily Return,Cumulative Return,MACD,Signal_Line,RSI,Lag_1,Lag_2,Rolling_Mean_7,Rolling_Std_7
2002-08-29,30.402116250976427,31.136376502707865,30.299876835470936,30.58800506591797,1236544,0.0,0.0,2002,8,3,29,Thursday,0.0,1.0362092125166806,0.3300969785083261,0.004831213651940239,55.84945868867358,30.58800506591797,30.56010627746582,30.376876286097936,1.037553523624395
2002-08-30,30.68093882673588,33.55291945368338,30.67164382192664,32.753597259521484,3762384,0.0,0.0,2002,8,3,30,Friday,0.07079873920958901,1.1095715183202226,0.5456340919839775,0.11299178931834769,64.30918057669527,30.58800506591797,30.58800506591797,30.99296678815569,0.9749509866669154
2002-09-02,33.27407686897878,34.184930352605306,32.753587948433726,33.08818817138672,2389568,0.0,0.0,2002,9,3,2,Monday,0.010215394334067263,1.1209062289217133,0.7349751614144502,0.2373884637375682,67.65918616343407,32.753597259521484,30.58800506591797,31.481586728777206,1.0540354857733005
2002-09-03,33.274091011462126,33.413507593912385,31.22931446885831,31.536029815673828,986784,0.0,0.0,2002,9,3,3,Tuesday,-0.04690974155711347,1.068324807413237,0.751124618644539,0.34013569471896243,70.51729268293546,33.08818817138672,32.753597259521484,31.493538992745535,1.054123246690162
2002-09-04,31.13636191091262,32.5305273696102,30.773879458938627,32.223812103271484,1449856,0.0,0.0,2002,9,3,4,Wednesday,0.021809412650156013,1.0916243439825106,0.8100833260987557,0.4341252209949211,72.28528884201438,31.536029815673828,33.08818817138672,31.619677679879324,1.0851774328871104
2002-09-05,33.20902105713281,33.357732611004955,31.60108464925996,32.02862930297852,1061360,0.0,0.0,2002,9,3,5,Thursday,-0.00605709838635593,1.0850122679300673,0.8314741888831172,0.5135950145725604,71.47442290366573,32.223812103271484,31.536029815673828,31.829466683523997,0.9833726197764613
2002-09-06,32.1587547834328,32.1587547834328,30.495050984756546,30.838943481445312,907472,0.0,0.0,2002,9,3,6,Friday,-0.03714445005683009,1.0447100839328909,0.7438542102712553,0.5596468537122994,68.4049906205542,32.02862930297852,32.223812103271484,31.86531502859933,0.933902546210513
2002-09-09,29.370426719607288,31.74050862261357,29.370426719607288,30.439287185668945,880848,0.0,0.0,2002,9,3,9,Monday,-0.01295946782407853,1.0311711972146722,0.6348476939148888,0.5746870217528173,64.11678996557147,30.838943481445312,32.02862930297852,31.844069617135183,0.9688411368227964
2002-09-10,30.439287185668945,30.439287185668945,30.439287185668945,30.439287185668945,0,0.0,0.0,2002,9,3,10,Tuesday,0.0,1.0311711972146722,0.5422089965540344,0.5681914167130607,59.55568186647982,30.439287185668945,30.838943481445312,31.513453892299108,1.0010781467439471
2002-09-11,30.606589105079617,31.749806901530143,30.606589105079617,31.21072769165039,635936,0.0,0.0,2002,9,3,11,Wednesday,0.02534357987018332,1.0573047668111148,0.5249892142378805,0.5595509762180247,57.71380847748136,30.439287185668945,30.439287185668945,31.245245252336776,0.7212545454856543
2002-09-12,31.59178113878101,32.1401521868683,31.154944435174887,31.368715286254883,781968,0.0,0.0,2002,9,3,12,Thursday,0.0050619644682863285,1.0626568059728625,0.5181181477279999,0.5512644105200198,49.5005591605531,31.21072769165039,30.439287185668945,31.221343176705496,0.7127340245802944
2002-09-13,30.271977899682465,31.396602338724133,30.21621071876583,30.47645378112793,338264,0.0,0.0,2002,9,3,13,Friday,-0.028444311377900933,1.0324302648959247,0.4356527972303219,0.5281420878620803,45.279136271568944,31.368715286254883,31.21072769165039,30.97172055925642,0.6002325721036815
2002-09-16,30.7645861920821,30.931884921995945,29.649253762157677,29.881614685058597,288592,0.0,0.0,2002,9,3,16,Monday,-0.019517989210335096,1.0122793021252627,0.3186269360744127,0.48623905750454677,46.217606024525054,30.47645378112793,31.368715286254883,30.665004185267858,0.5122540108157195
2002-09-17,30.42068880445097,30.950472806891423,30.31845227453865,30.75528907775879,462952,0.0,0.0,2002,9,3,17,Tuesday,0.029237857522373067,1.0418761801336485,0.29300375497308195,0.4475919969982538,50.85219836181249,29.881614685058597,30.47645378112793,30.653053556169784,0.5084816925395415
2002-09-18,30.57870156107826,30.67164594272288,29.5563133629875,29.80726432800293,315432,0.0,0.0,2002,9,3,18,Wednesday,-0.030824771224193692,1.009760585237092,0.19396363299039976,0.39686632419668305,46.372992214745494,30.75528907775879,29.881614685058597,30.56276457650321,0.6005442598549847
2002-09-19,29.556314468383796,30.54152551795076,29.18453692790097,29.55631446838379,490848,0.0,0.0,2002,9,3,19,Thursday,-0.008419083913829062,1.0012593261371037,0.0941388918321806,0.3363208377237826,31.932650474032982,29.80726432800293,30.75528907775879,30.436625616891043,0.713002845065702
2002-09-20,28.496735302156008,29.5005330427824,28.37590595790902,29.07298851013184,501072,0.0,0.0,2002,9,3,20,Friday,-0.016352714028975424,0.984886018707939,-0.023700100238741584,0.26431665013127775,27.685820848534547,29.55631446838379,29.80726432800293,30.131234305245535,0.780775630021697
2002-09-23,29.277491220613808,29.351845619297112,28.459581489343485,28.58040809631348,248504,0.0,0.0,2002,9,3,23,Monday,-0.01694288888280948,0.9681992043307378,-0.15504817432837825,0.18044368523934656,31.381655416259463,29.07298851013184,29.55631446838379,29.732904706682483,0.7550608115604065
